hero1_nick,hero2_nick,weight
HUMAN TORCH,THING,1.0
HUMAN TORCH,MR. FANTASTIC,0.9567039106145251
MR. FANTASTIC,THING,0.9497206703910615
INVISIBLE WOMAN,MR. FANTASTIC,0.9399441340782123
HUMAN TORCH,INVISIBLE WOMAN,0.9301675977653632
INVISIBLE WOMAN,THING,0.8938547486033519
CAPTAIN AMERICA,IRON MAN,0.5837988826815642
SCARLET WITCH,VISION ,0.5502793296089385
CAPTAIN AMERICA,THOR,0.5
CAPTAIN AMERICA,VISION ,0.49860335195530725
CAPTAIN AMERICA,SCARLET WITCH,0.48324022346368717
IRON MAN,SCARLET WITCH,0.48044692737430167
IRON MAN,THOR,0.441340782122905
IRON MAN,VISION ,0.4259776536312849
CAPTAIN AMERICA,HAWK,0.4106145251396648
HAWK,SCARLET WITCH,0.3812849162011173
HAWK,IRON MAN,0.3715083798882682
THOR,VISION ,0.3170391061452514
SCARLET WITCH,THOR,0.31564245810055863
HAWK,VISION ,0.31424581005586594
HAWK,THOR,0.2541899441340782
BEAST,CAPTAIN AMERICA,0.19692737430167598
CAPTAIN AMERICA,THING,0.19553072625698323
CAPTAIN AMERICA,MR. FANTASTIC,0.19273743016759776
CAPTAIN AMERICA,HUMAN TORCH,0.18156424581005587
CAPTAIN AMERICA,INVISIBLE WOMAN,0.16899441340782123
HUMAN TORCH,SPIDER-MAN,0.16620111731843576
BEAST,WOLVERINE,0.164804469273743
BEAST,SCARLET WITCH,0.1634078212290503
CAPTAIN AMERICA,SPIDER-MAN,0.1634078212290503
BEAST,VISION ,0.16201117318435754
BEAST,IRON MAN,0.15921787709497207
IRON MAN,THING,0.14106145251396648
MR. FANTASTIC,THOR,0.14106145251396648
IRON MAN,MR. FANTASTIC,0.13966480446927373
SPIDER-MAN,THING,0.13687150837988826
THING,THOR,0.13687150837988826
HUMAN TORCH,THOR,0.1340782122905028
MR. FANTASTIC,SPIDER-MAN,0.12988826815642457
INVISIBLE WOMAN,IRON MAN,0.12011173184357542
INVISIBLE WOMAN,THOR,0.11592178770949721
HUMAN TORCH,IRON MAN,0.11173184357541899
THING,VISION ,0.10195530726256984
SCARLET WITCH,THING,0.09916201117318436
HUMAN TORCH,VISION ,0.09776536312849161
INVISIBLE WOMAN,SPIDER-MAN,0.09636871508379888
SPIDER-MAN,THOR,0.0935754189944134
IRON MAN,SPIDER-MAN,0.09217877094972067
INVISIBLE WOMAN,VISION ,0.0893854748603352
MR. FANTASTIC,VISION ,0.08659217877094973
BEAST,THOR,0.08659217877094973
MR. FANTASTIC,SCARLET WITCH,0.08519553072625698
HUMAN TORCH,SCARLET WITCH,0.08379888268156424
INVISIBLE WOMAN,SCARLET WITCH,0.0824022346368715
HAWK,MR. FANTASTIC,0.07262569832402235
HAWK,THING,0.07262569832402235
CAPTAIN AMERICA,WOLVERINE,0.06983240223463687
THING,WOLVERINE,0.0670391061452514
SPIDER-MAN,VISION ,0.06564245810055866
SCARLET WITCH,SPIDER-MAN,0.05446927374301676
HUMAN TORCH,WOLVERINE,0.05446927374301676
BEAST,THING,0.05446927374301676
HAWK,HUMAN TORCH,0.05446927374301676
BEAST,HAWK,0.051675977653631286
SPIDER-MAN,WOLVERINE,0.04888268156424581
HAWK,INVISIBLE WOMAN,0.04748603351955307
BEAST,MR. FANTASTIC,0.0446927374301676
HAWK,SPIDER-MAN,0.040502793296089384
BEAST,HUMAN TORCH,0.040502793296089384
BEAST,INVISIBLE WOMAN,0.036312849162011177
MR. FANTASTIC,WOLVERINE,0.034916201117318434
INVISIBLE WOMAN,WOLVERINE,0.03212290502793296
BEAST,SPIDER-MAN,0.03212290502793296
VISION ,WOLVERINE,0.025139664804469275
SCARLET WITCH,WOLVERINE,0.01675977653631285
HAWK,WOLVERINE,0.006983240223463687
IRON MAN,WOLVERINE,0.006983240223463687
THOR,WOLVERINE,0.0
